Description,PublishedAt,Category
"Robert Kraft is trying to block the release of purported video evidence in his prostitution solicitation case, underscoring what experts consider the real threat.",2019-03-22T04:36:50Z,sports
Luka Doncic was terrible and so were most of the Mavericks,2019-03-22T04:28:01Z,sports
"It was ugly at the end, but Purdue survived and will advance to the 2nd Round.",2019-03-22T04:25:56Z,sports
"Florida defeated Nevada 70-61 in a Round 1 game in Des Moines, Iowa, Thursday night.",2019-03-22T04:21:00Z,sports
"The 2019 NCAA wrestling tournament is just getting started, and already these wrestlers have created enough highlight reels to keep wrestling fans exciting until next year's tournament. Let's take a look at some of the best moments after Day 1 of the national…",2019-03-22T04:07:30Z,sports
Benjamin Allbright joined 1st and 10 at 10 on Orange and Blue 760 to discuss the 2019 draft.,2019-03-22T03:05:00Z,sports
"You react, you rate.",2019-03-22T03:00:00Z,sports
"NASHVILLE, Tenn. — For the fifth time in their past 14 games, the Pittsburgh Penguins blew a one-goal lead late in the third period and went to overtime. This time, they lived to tell the tale. Sidney Crosby converted on his attempt in the shootout, Matt Murr…",2019-03-22T02:55:14Z,sports
"The No. 15-seed Montana Grizzlies are having a rather difficult time in their first-round NCAA Tournament game against the No. 2-seed Michigan Wolverines on Thursday night. Michigan leads  34-21 at halftime, and has led by double-digits since taking a 17-6 le…",2019-03-22T02:46:20Z,sports
Penn State is a third of the way home to its fourth consecutive national title and eighth in the last nine seasons. The Nittany Lions have an early lead over Ohio State and Iowa after the first day of the 2019 NCAA Championships on Thursday at PPG Paints Aren…,2019-03-22T02:44:00Z,sports
"Knights senior Nadi Beciri hadn't played in a game since November. In the final seconds of their NCAA tournament game on Thursday, Beciri made his return to the court — and left in style.",2019-03-22T02:42:00Z,sports
The settlement amount that former San Francisco 49ers quarterback Colin Kaepernick and ex-teammate Eric Reid reaped from their collusion lawsuit against the National Football League may be far less…,2019-03-22T02:14:00Z,sports
"The 49ers want to make sure they get the best player, regardless of position, when they pick in the first-round in this year’s draft.",2019-03-22T02:03:45Z,sports
"UCLA men's soccer coach Jorge Salcedo, who allegedly took $200,000 to help two applicants get into the school, resigned Thursday.",2019-03-22T01:55:22Z,sports
"Microsoft briefly brought back its Clippy Office Assistant this week. The assistant appeared in Microsoft Teams thanks to a new sticker pack made by employees, but one insider tells The Verge that the company’s brand police wasn’t happy and killed it off",2019-03-22T11:45:00Z,technology
The New York Times said earlier this week that it had declined to join the upcoming Apple News subscription service. The Washington Post has reportedly made the same decision. CEO Mark Thompson has…,2019-03-22T11:12:35Z,technology
"If you’ve ever noticed your phone battery draining without reason, it might be because of a huge hidden video ad scheme now brought to light.",2019-03-22T10:35:53Z,technology
"CEO Tim Sweeney addresses backlash against exclusivity deals, promises human curation to block shock controversy games like Rape Day",2019-03-22T10:24:40Z,technology
Charging towards a release?,2019-03-22T09:54:00Z,technology
"That's quite a wrong turn,Controversy ,Nokia,hmd,china,gdpr,Privacy ,Security",2019-03-22T09:27:39Z,technology
Sekiro Shadows Die Twice boss guide - here's how to take down the game's most troublesome foes and tactics and tips for winning.,2019-03-22T09:00:00Z,technology
"Some more rumored details of the Samsung Galaxy Note 10 have appeared online. It seems the flagship phablet will sport a similar camera setup to the Galaxy S10 5G, with four cameras on the rear and two on the front. The device, which is expected to come with …",2019-03-22T08:33:21Z,technology
If you rely on IFTTT automated scripts that involve with Gmail then you might lose a few features soon.,2019-03-22T08:26:22Z,technology
"Total shipments for the March 8-released Devil May Cry 5 have topped two million units across PlayStation 4, Xbox One, and PC, Capcom announced. Here is an overview of the series and game, via Capcom: The Devil May Cry series consists of popular, stylish acti…",2019-03-22T06:09:00Z,technology
"EA is finally ready to show gameplay for the battle royale mode in 'Battlefield V,' and it's not quite the usual formula.",2019-03-22T04:38:46Z,technology
"Vampire: The Masquerade - Bloodlines, the cult 2004 role-playing game set in White Wolf’s World of Darkness universe, has a sequel slated for release in 2020.",2019-03-22T03:30:00Z,technology
Nindie representation,2019-03-22T03:30:00Z,technology
"Virtual Reality, the Nintendo way",2019-03-22T01:00:00Z,technology
"Few smartwatches pack so much into such a small package like the Gear S3 does, and this deal is better than any we've seen so far.",2019-03-22T00:48:57Z,technology
"Microsoft and the University of Washington have created the first, full end-to-end automated DNA storage device",2019-03-22T00:31:56Z,technology
"The 2020 Porsche Cayenne Coupe dropped today, boasting a steeply raked rear window and a name that does not mean what Porsche says it means. But no matter! Shut it down everyone—I’ve already found the best and classiest part of the car.",2019-03-22T00:00:00Z,technology
"There are a lot of iPads now, but can the smallest one spark a little joy?",2019-03-21T23:52:58Z,technology
Valve has redesigned the Steam game library in a move that could counter Epic's fast-growing store.,2019-03-21T23:52:48Z,technology
"In a new interview, Brace Yourself Games founder Ryan Clark and Nintendo relations staff Kirk Scott talked about how a surprising collaboration between Zelda and Crypt of the Necrodancer came to be.",2019-03-21T23:00:00Z,technology
